run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,dataset_name,dataset_path,dataset_extra_args
0001_E01_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-queue,E01,GovReport-GAO-1K,medium_poisson,3B,Qwen/Qwen2.5-3B,auto-medium,1,0,200,queue,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,--custom-output-len 128 --skip-chat-template
0002_E04_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-queue,E04,GovReport-GAO-1K,high_poisson,3B,Qwen/Qwen2.5-3B,auto-high,1,0,200,queue,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,--custom-output-len 128 --skip-chat-template
0003_E02_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-queue,E02,GovReport-GAO-1K,medium_poisson,7B,Qwen/Qwen2.5-7B,auto-medium,1,0,200,queue,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,--custom-output-len 128 --skip-chat-template
0004_E05_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-queue,E05,GovReport-GAO-1K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,queue,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,--custom-output-len 128 --skip-chat-template
0005_E03_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-queue,E03,GovReport-GAO-1K,medium_poisson,14B,Qwen/Qwen2.5-14B,auto-medium,1,0,200,queue,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,--custom-output-len 128 --skip-chat-template
0006_E06_GovReport-GAO-1K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-queue,E06,GovReport-GAO-1K,high_poisson,14B,Qwen/Qwen2.5-14B,auto-high,1,0,200,queue,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,--custom-output-len 128 --skip-chat-template
0007_E02_GovReport-GAO-2K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-queue,E02,GovReport-GAO-2K,medium_poisson,3B,Qwen/Qwen2.5-3B,auto-medium,1,0,200,queue,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,--custom-output-len 128 --skip-chat-template
0008_E05_GovReport-GAO-2K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-queue,E05,GovReport-GAO-2K,high_poisson,3B,Qwen/Qwen2.5-3B,auto-high,1,0,200,queue,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,--custom-output-len 128 --skip-chat-template
0009_E03_GovReport-GAO-2K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-queue,E03,GovReport-GAO-2K,medium_poisson,7B,Qwen/Qwen2.5-7B,auto-medium,1,0,200,queue,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,--custom-output-len 128 --skip-chat-template
0010_E06_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-queue,E06,GovReport-GAO-2K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,queue,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,--custom-output-len 128 --skip-chat-template
